drug,cell_line,gCSI IC50
crizotinib,HuCCT1,1
dasatinib,HuCCT1,0.1
docetaxel,HuCCT1,0.01
doxorubicin,HuCCT1,0.49
erlotinib,HuCCT1,NaN
gdc0941,HuCCT1,10
gemcitabine,HuCCT1,0.02
irinotecan,HuCCT1,6.99
lapatinib,HuCCT1,NaN
ms275,HuCCT1,NaN
paclitaxel,HuCCT1,0.02
pd0325901,HuCCT1,0.01
rapamycin,HuCCT1,0.01
thapsigargin,HuCCT1,0.02
vinblastine,HuCCT1,0.02
vorinostat,HuCCT1,1.19
bid1870,huH-1,10
bortezomib,huH-1,0.15
crizotinib,huH-1,1
dasatinib,huH-1,NaN
docetaxel,huH-1,0.03
doxorubicin,huH-1,1.26
erlotinib,huH-1,10
gdc0941,huH-1,10
gemcitabine,huH-1,0.03
irinotecan,huH-1,2.04
lapatinib,huH-1,20
ms275,huH-1,0.1
paclitaxel,huH-1,0.07
pd0325901,huH-1,2.87
rapamycin,huH-1,0.1
thapsigargin,huH-1,0.01
vinblastine,huH-1,NaN
vorinostat,huH-1,2.41
bid1870,HUH-7,10
bortezomib,HUH-7,0.09
crizotinib,HUH-7,1
dasatinib,HUH-7,NaN
docetaxel,HUH-7,0.04
doxorubicin,HUH-7,0.65
erlotinib,HUH-7,10
gdc0941,HUH-7,10
gemcitabine,HUH-7,1
irinotecan,HUH-7,20
lapatinib,HUH-7,20
ms275,HUH-7,0.1
paclitaxel,HUH-7,0.11
pd0325901,HUH-7,0.59
rapamycin,HUH-7,0.01
thapsigargin,HUH-7,0.01
vinblastine,HUH-7,NaN
vorinostat,HUH-7,2.54
bid1870,HUP-T3,10
bortezomib,HUP-T3,0.01
crizotinib,HUP-T3,1
dasatinib,HUP-T3,0.1
docetaxel,HUP-T3,0.02
doxorubicin,HUP-T3,0.76
erlotinib,HUP-T3,10
gdc0941,HUP-T3,10
gemcitabine,HUP-T3,0.02
irinotecan,HUP-T3,4.18
lapatinib,HUP-T3,20
ms275,HUP-T3,0.1
paclitaxel,HUP-T3,0.05
pd0325901,HUP-T3,0.25
rapamycin,HUP-T3,0.1
thapsigargin,HUP-T3,0.12
vinblastine,HUP-T3,0.01
vorinostat,HUP-T3,0.9
bid1870,HUP-T4,10
bortezomib,HUP-T4,0.06
crizotinib,HUP-T4,1
dasatinib,HUP-T4,NaN
docetaxel,HUP-T4,0.05
doxorubicin,HUP-T4,1.36
erlotinib,HUP-T4,10
gdc0941,HUP-T4,10
gemcitabine,HUP-T4,0.05
irinotecan,HUP-T4,1.93
lapatinib,HUP-T4,20
ms275,HUP-T4,0.1
paclitaxel,HUP-T4,0.12
pd0325901,HUP-T4,0.02
rapamycin,HUP-T4,0.1
thapsigargin,HUP-T4,0.06
vinblastine,HUP-T4,NaN
vorinostat,HUP-T4,3.97
bid1870,IGR-1,10
bortezomib,IGR-1,0.04
crizotinib,IGR-1,0.8
dasatinib,IGR-1,0.1
docetaxel,IGR-1,0
doxorubicin,IGR-1,0.31
erlotinib,IGR-1,10
gdc0941,IGR-1,10
gemcitabine,IGR-1,0.01
irinotecan,IGR-1,6
lapatinib,IGR-1,3.9
ms275,IGR-1,0.1
paclitaxel,IGR-1,0.01
pd0325901,IGR-1,0.02
rapamycin,IGR-1,0.1
thapsigargin,IGR-1,0.15
vinblastine,IGR-1,0.01
vorinostat,IGR-1,0.68
bid1870,IGR-37,10
bortezomib,IGR-37,0.04
crizotinib,IGR-37,1
dasatinib,IGR-37,NaN
docetaxel,IGR-37,0.01
doxorubicin,IGR-37,0.28
erlotinib,IGR-37,10
gdc0941,IGR-37,10
gemcitabine,IGR-37,0.01
irinotecan,IGR-37,1.15
lapatinib,IGR-37,8.97
ms275,IGR-37,0.1
paclitaxel,IGR-37,0.02
pd0325901,IGR-37,0
rapamycin,IGR-37,0.1
thapsigargin,IGR-37,0.1
vinblastine,IGR-37,NaN
vorinostat,IGR-37,0.98
bid1870,IGR-39,10
bortezomib,IGR-39,0.04
crizotinib,IGR-39,1
dasatinib,IGR-39,NaN
docetaxel,IGR-39,0
doxorubicin,IGR-39,0.12
erlotinib,IGR-39,10
gdc0941,IGR-39,10
gemcitabine,IGR-39,0
irinotecan,IGR-39,1
lapatinib,IGR-39,18.38
ms275,IGR-39,0.1
paclitaxel,IGR-39,0.02
pd0325901,IGR-39,20
rapamycin,IGR-39,0.01
thapsigargin,IGR-39,0.07
vinblastine,IGR-39,NaN
vorinostat,IGR-39,1.17
bid1870,IGROV-1,10
bortezomib,IGROV-1,0.02
crizotinib,IGROV-1,1
dasatinib,IGROV-1,NaN
docetaxel,IGROV-1,0.01
doxorubicin,IGROV-1,0.11
erlotinib,IGROV-1,0.04
gdc0941,IGROV-1,0.09
gemcitabine,IGROV-1,0.01
irinotecan,IGROV-1,1.59
lapatinib,IGROV-1,0.3
ms275,IGROV-1,0.1
paclitaxel,IGROV-1,0.01
pd0325901,IGROV-1,0.03
rapamycin,IGROV-1,0
thapsigargin,IGROV-1,0.01
vinblastine,IGROV-1,NaN
vorinostat,IGROV-1,1.17
bid1870,IMR-32,10
bortezomib,IMR-32,0.02
crizotinib,IMR-32,0.37
dasatinib,IMR-32,NaN
docetaxel,IMR-32,0
doxorubicin,IMR-32,0.03
erlotinib,IMR-32,10
gdc0941,IMR-32,10
gemcitabine,IMR-32,0
irinotecan,IMR-32,0.1
lapatinib,IMR-32,7.56
ms275,IMR-32,0.1
paclitaxel,IMR-32,0.01
pd0325901,IMR-32,20
rapamycin,IMR-32,0.1
thapsigargin,IMR-32,0.08
vinblastine,IMR-32,NaN
vorinostat,IMR-32,0.46
bid1870,IPC-298,10
bortezomib,IPC-298,0.02
crizotinib,IPC-298,1
dasatinib,IPC-298,0.1
docetaxel,IPC-298,0.01
doxorubicin,IPC-298,0.16
erlotinib,IPC-298,10
gdc0941,IPC-298,10
gemcitabine,IPC-298,0
irinotecan,IPC-298,2.42
lapatinib,IPC-298,3.79
ms275,IPC-298,0.1
paclitaxel,IPC-298,0.01
pd0325901,IPC-298,0
rapamycin,IPC-298,0.1
thapsigargin,IPC-298,0.02
vinblastine,IPC-298,0.02
vorinostat,IPC-298,1.21
bid1870,JHH-2,10
bortezomib,JHH-2,0.03
crizotinib,JHH-2,1
dasatinib,JHH-2,NaN
docetaxel,JHH-2,0.28
doxorubicin,JHH-2,3.28
erlotinib,JHH-2,10
gdc0941,JHH-2,10
gemcitabine,JHH-2,1
irinotecan,JHH-2,20
lapatinib,JHH-2,10.37
ms275,JHH-2,0.1
paclitaxel,JHH-2,0.64
pd0325901,JHH-2,3.32
rapamycin,JHH-2,0.1
thapsigargin,JHH-2,0.53
vinblastine,JHH-2,NaN
vorinostat,JHH-2,3.87
bid1870,JHH-4,10
bortezomib,JHH-4,0.11
crizotinib,JHH-4,1
dasatinib,JHH-4,NaN
docetaxel,JHH-4,0.03
doxorubicin,JHH-4,1.03
erlotinib,JHH-4,10
gdc0941,JHH-4,10
gemcitabine,JHH-4,0.07
irinotecan,JHH-4,2.75
lapatinib,JHH-4,20
ms275,JHH-4,0.1
paclitaxel,JHH-4,0.09
pd0325901,JHH-4,0.43
rapamycin,JHH-4,0.1
thapsigargin,JHH-4,0.06
vinblastine,JHH-4,NaN
vorinostat,JHH-4,1.85
bid1870,JHH-5,10
bortezomib,JHH-5,0.13
crizotinib,JHH-5,1
dasatinib,JHH-5,NaN
docetaxel,JHH-5,0.05
doxorubicin,JHH-5,0.4
erlotinib,JHH-5,0.17
gdc0941,JHH-5,3.15
gemcitabine,JHH-5,0
irinotecan,JHH-5,1.41
lapatinib,JHH-5,0.32
ms275,JHH-5,0.1
paclitaxel,JHH-5,0.09
pd0325901,JHH-5,0
rapamycin,JHH-5,0.1
thapsigargin,JHH-5,0.01
vinblastine,JHH-5,NaN
vorinostat,JHH-5,0.58
bid1870,JHH-7,10
bortezomib,JHH-7,0.05
crizotinib,JHH-7,1
dasatinib,JHH-7,NaN
docetaxel,JHH-7,0.02
doxorubicin,JHH-7,0.57
erlotinib,JHH-7,10
gdc0941,JHH-7,10
gemcitabine,JHH-7,1
irinotecan,JHH-7,20
lapatinib,JHH-7,8.77
ms275,JHH-7,0.1
paclitaxel,JHH-7,0.03
pd0325901,JHH-7,20
rapamycin,JHH-7,0.1
thapsigargin,JHH-7,0.07
vinblastine,JHH-7,NaN
vorinostat,JHH-7,1.59
bid1870,JVM-2,NaN
bortezomib,JVM-2,NaN
crizotinib,JVM-2,NaN
dasatinib,JVM-2,0.04
docetaxel,JVM-2,NaN
doxorubicin,JVM-2,NaN
erlotinib,JVM-2,NaN
gdc0941,JVM-2,NaN
gemcitabine,JVM-2,NaN
irinotecan,JVM-2,NaN
lapatinib,JVM-2,NaN
ms275,JVM-2,NaN
paclitaxel,JVM-2,NaN
pd0325901,JVM-2,NaN
rapamycin,JVM-2,NaN
thapsigargin,JVM-2,NaN
vinblastine,JVM-2,0.01
vorinostat,JVM-2,NaN
bid1870,K-562,10
bortezomib,K-562,0.02
crizotinib,K-562,0.48
dasatinib,K-562,NaN
docetaxel,K-562,0.01
doxorubicin,K-562,0.47
erlotinib,K-562,10
gdc0941,K-562,10
gemcitabine,K-562,0.03
irinotecan,K-562,2.38
lapatinib,K-562,15.65
ms275,K-562,0.1
paclitaxel,K-562,0.02
pd0325901,K-562,0.09
rapamycin,K-562,0.1
thapsigargin,K-562,0.08
vinblastine,K-562,NaN
vorinostat,K-562,1.39
bid1870,KALS-1,10
bortezomib,KALS-1,0.02
crizotinib,KALS-1,1
dasatinib,KALS-1,NaN
docetaxel,KALS-1,0.01
doxorubicin,KALS-1,1.28
erlotinib,KALS-1,10
gdc0941,KALS-1,10
gemcitabine,KALS-1,1
irinotecan,KALS-1,20
lapatinib,KALS-1,16.06
ms275,KALS-1,0.1
paclitaxel,KALS-1,0.02
pd0325901,KALS-1,7.93
rapamycin,KALS-1,0.1
thapsigargin,KALS-1,1
vinblastine,KALS-1,NaN
vorinostat,KALS-1,2.61
bid1870,KARPAS-299,NaN
bortezomib,KARPAS-299,NaN
crizotinib,KARPAS-299,NaN
dasatinib,KARPAS-299,0.1
docetaxel,KARPAS-299,NaN
doxorubicin,KARPAS-299,NaN
erlotinib,KARPAS-299,NaN
gdc0941,KARPAS-299,NaN
gemcitabine,KARPAS-299,NaN
irinotecan,KARPAS-299,NaN
lapatinib,KARPAS-299,NaN
ms275,KARPAS-299,NaN
paclitaxel,KARPAS-299,NaN
pd0325901,KARPAS-299,NaN
rapamycin,KARPAS-299,NaN
thapsigargin,KARPAS-299,NaN
vinblastine,KARPAS-299,0.01
vorinostat,KARPAS-299,NaN
bid1870,KARPAS-422,10
bortezomib,KARPAS-422,0.13
crizotinib,KARPAS-422,1
dasatinib,KARPAS-422,0.1
docetaxel,KARPAS-422,0.01
doxorubicin,KARPAS-422,0.13
erlotinib,KARPAS-422,10
gdc0941,KARPAS-422,10
gemcitabine,KARPAS-422,0.01
irinotecan,KARPAS-422,1.04
lapatinib,KARPAS-422,20
ms275,KARPAS-422,0.1
paclitaxel,KARPAS-422,0.02
pd0325901,KARPAS-422,20
rapamycin,KARPAS-422,0
thapsigargin,KARPAS-422,0.14
vinblastine,KARPAS-422,0.03
vorinostat,KARPAS-422,1.17
bid1870,KARPAS-620,10
bortezomib,KARPAS-620,0.04
crizotinib,KARPAS-620,0.57
dasatinib,KARPAS-620,NaN
docetaxel,KARPAS-620,0
doxorubicin,KARPAS-620,1.07
erlotinib,KARPAS-620,10
gdc0941,KARPAS-620,10
gemcitabine,KARPAS-620,1
irinotecan,KARPAS-620,20
lapatinib,KARPAS-620,20
ms275,KARPAS-620,0.1
paclitaxel,KARPAS-620,0
pd0325901,KARPAS-620,20
rapamycin,KARPAS-620,0.1
thapsigargin,KARPAS-620,0.04
vinblastine,KARPAS-620,NaN
vorinostat,KARPAS-620,1.09
bid1870,Kasumi-1,NaN
bortezomib,Kasumi-1,NaN
crizotinib,Kasumi-1,NaN
dasatinib,Kasumi-1,NaN
docetaxel,Kasumi-1,NaN
doxorubicin,Kasumi-1,NaN
erlotinib,Kasumi-1,NaN
gdc0941,Kasumi-1,NaN
gemcitabine,Kasumi-1,NaN
irinotecan,Kasumi-1,NaN
lapatinib,Kasumi-1,NaN
ms275,Kasumi-1,NaN
paclitaxel,Kasumi-1,NaN
pd0325901,Kasumi-1,NaN
rapamycin,Kasumi-1,NaN
thapsigargin,Kasumi-1,NaN
vinblastine,Kasumi-1,NaN
vorinostat,Kasumi-1,NaN
bid1870,KCI-MOH1,NaN
bortezomib,KCI-MOH1,0.02
crizotinib,KCI-MOH1,1
dasatinib,KCI-MOH1,0.1
docetaxel,KCI-MOH1,0.03
doxorubicin,KCI-MOH1,0.6
erlotinib,KCI-MOH1,10
gdc0941,KCI-MOH1,10
gemcitabine,KCI-MOH1,1
irinotecan,KCI-MOH1,NaN
lapatinib,KCI-MOH1,3.96
ms275,KCI-MOH1,0.1
paclitaxel,KCI-MOH1,0.14
pd0325901,KCI-MOH1,0.14
rapamycin,KCI-MOH1,0.1
thapsigargin,KCI-MOH1,0.04
vinblastine,KCI-MOH1,0.1
vorinostat,KCI-MOH1,3.48
bid1870,KE-39,10
bortezomib,KE-39,0.08
crizotinib,KE-39,1
dasatinib,KE-39,NaN
docetaxel,KE-39,0.3
doxorubicin,KE-39,20
erlotinib,KE-39,10
gdc0941,KE-39,10
gemcitabine,KE-39,1
irinotecan,KE-39,20
lapatinib,KE-39,20
ms275,KE-39,0.1
paclitaxel,KE-39,3
pd0325901,KE-39,20
rapamycin,KE-39,0.1
thapsigargin,KE-39,0.45
vinblastine,KE-39,NaN
vorinostat,KE-39,3.25
bid1870,KE-97,10
bortezomib,KE-97,0.03
crizotinib,KE-97,1
dasatinib,KE-97,NaN
docetaxel,KE-97,0.02
doxorubicin,KE-97,0.55
erlotinib,KE-97,10
gdc0941,KE-97,10
gemcitabine,KE-97,0.02
irinotecan,KE-97,0.68
lapatinib,KE-97,20
ms275,KE-97,0.1
paclitaxel,KE-97,0.02
pd0325901,KE-97,20
rapamycin,KE-97,0.1
thapsigargin,KE-97,1
vinblastine,KE-97,NaN
vorinostat,KE-97,2.04
bid1870,KELLY,10
bortezomib,KELLY,0.01
crizotinib,KELLY,0.31
dasatinib,KELLY,NaN
docetaxel,KELLY,0.01
doxorubicin,KELLY,0.13
erlotinib,KELLY,10
gdc0941,KELLY,10
gemcitabine,KELLY,0
irinotecan,KELLY,0.76
lapatinib,KELLY,7.28
ms275,KELLY,0.1
paclitaxel,KELLY,0.05
pd0325901,KELLY,1.24
rapamycin,KELLY,0.1
thapsigargin,KELLY,0.07
vinblastine,KELLY,NaN
vorinostat,KELLY,0.5
bid1870,KG-1,10
bortezomib,KG-1,0.01
crizotinib,KG-1,1
dasatinib,KG-1,0.1
docetaxel,KG-1,0.04
doxorubicin,KG-1,0.85
erlotinib,KG-1,10
gdc0941,KG-1,10
gemcitabine,KG-1,0.03
irinotecan,KG-1,0.81
lapatinib,KG-1,20
ms275,KG-1,0.1
paclitaxel,KG-1,0.12
pd0325901,KG-1,20
rapamycin,KG-1,0.1
thapsigargin,KG-1,0.18
vinblastine,KG-1,0.01
vorinostat,KG-1,0.7
bid1870,KHM-1B,10
bortezomib,KHM-1B,0.04
crizotinib,KHM-1B,0.87
dasatinib,KHM-1B,NaN
docetaxel,KHM-1B,0.01
doxorubicin,KHM-1B,1.42
erlotinib,KHM-1B,10
gdc0941,KHM-1B,10
gemcitabine,KHM-1B,1
irinotecan,KHM-1B,1.4
lapatinib,KHM-1B,20
ms275,KHM-1B,0.1
paclitaxel,KHM-1B,0.02
pd0325901,KHM-1B,20
rapamycin,KHM-1B,0.1
thapsigargin,KHM-1B,0.05
vinblastine,KHM-1B,NaN
vorinostat,KHM-1B,1.97
bid1870,KINGS-1,10
bortezomib,KINGS-1,0.04
crizotinib,KINGS-1,1
dasatinib,KINGS-1,NaN
docetaxel,KINGS-1,0.01
doxorubicin,KINGS-1,0.45
erlotinib,KINGS-1,10
gdc0941,KINGS-1,10
gemcitabine,KINGS-1,1
irinotecan,KINGS-1,20
lapatinib,KINGS-1,7.95
ms275,KINGS-1,0.1
paclitaxel,KINGS-1,0.03
pd0325901,KINGS-1,0.6
rapamycin,KINGS-1,0.1
thapsigargin,KINGS-1,0.06
vinblastine,KINGS-1,NaN
vorinostat,KINGS-1,1.76
bid1870,KLE,10
bortezomib,KLE,0.13
crizotinib,KLE,1
dasatinib,KLE,NaN
docetaxel,KLE,0.3
doxorubicin,KLE,4.28
erlotinib,KLE,10
gdc0941,KLE,10
gemcitabine,KLE,1
irinotecan,KLE,20
lapatinib,KLE,20
ms275,KLE,0.1
paclitaxel,KLE,3
pd0325901,KLE,20
rapamycin,KLE,0.1
thapsigargin,KLE,1
vinblastine,KLE,NaN
vorinostat,KLE,4.16
bid1870,KM-12,10
bortezomib,KM-12,0.04
crizotinib,KM-12,1
dasatinib,KM-12,NaN
docetaxel,KM-12,0.06
doxorubicin,KM-12,1.15
erlotinib,KM-12,10
gdc0941,KM-12,10
gemcitabine,KM-12,1
irinotecan,KM-12,20
lapatinib,KM-12,20
ms275,KM-12,0.1
paclitaxel,KM-12,0.07
pd0325901,KM-12,20
rapamycin,KM-12,0.1
thapsigargin,KM-12,0.16
vinblastine,KM-12,NaN
vorinostat,KM-12,7.17
bid1870,KMM-1,10
bortezomib,KMM-1,0.02
crizotinib,KMM-1,1
dasatinib,KMM-1,NaN
docetaxel,KMM-1,0.01
doxorubicin,KMM-1,0.33
erlotinib,KMM-1,0.42
gdc0941,KMM-1,10
gemcitabine,KMM-1,0.01
irinotecan,KMM-1,2.35
lapatinib,KMM-1,20
ms275,KMM-1,0.1
paclitaxel,KMM-1,0.01
pd0325901,KMM-1,0.01
rapamycin,KMM-1,0
thapsigargin,KMM-1,0.03
vinblastine,KMM-1,NaN
vorinostat,KMM-1,0.33
bid1870,KMRC-1,10
bortezomib,KMRC-1,0.03
crizotinib,KMRC-1,1
dasatinib,KMRC-1,NaN
docetaxel,KMRC-1,0.02
doxorubicin,KMRC-1,0.4
erlotinib,KMRC-1,10
gdc0941,KMRC-1,10
gemcitabine,KMRC-1,0
irinotecan,KMRC-1,1.79
lapatinib,KMRC-1,7.1
ms275,KMRC-1,0.1
paclitaxel,KMRC-1,0.07
pd0325901,KMRC-1,20
rapamycin,KMRC-1,0.1
thapsigargin,KMRC-1,0.16
vinblastine,KMRC-1,NaN
vorinostat,KMRC-1,2.12
bid1870,KMS-11,10
bortezomib,KMS-11,0.02
crizotinib,KMS-11,1
dasatinib,KMS-11,NaN
docetaxel,KMS-11,0.01
doxorubicin,KMS-11,0.69
erlotinib,KMS-11,1.81
gdc0941,KMS-11,10
gemcitabine,KMS-11,1
irinotecan,KMS-11,18.27
lapatinib,KMS-11,12.83
ms275,KMS-11,0.1
paclitaxel,KMS-11,0.02
pd0325901,KMS-11,20
rapamycin,KMS-11,0.1
thapsigargin,KMS-11,0.03
vinblastine,KMS-11,NaN
vorinostat,KMS-11,0.67
bid1870,KMS-12-BM,10
bortezomib,KMS-12-BM,0.02
crizotinib,KMS-12-BM,1
dasatinib,KMS-12-BM,NaN
docetaxel,KMS-12-BM,0
doxorubicin,KMS-12-BM,1.03
erlotinib,KMS-12-BM,10
gdc0941,KMS-12-BM,10
gemcitabine,KMS-12-BM,0.11
irinotecan,KMS-12-BM,1.47
lapatinib,KMS-12-BM,20
ms275,KMS-12-BM,0.1
paclitaxel,KMS-12-BM,0.01
pd0325901,KMS-12-BM,20
rapamycin,KMS-12-BM,0.1
thapsigargin,KMS-12-BM,0.03
vinblastine,KMS-12-BM,NaN
vorinostat,KMS-12-BM,0.65
bid1870,KMS-12-PE,10
bortezomib,KMS-12-PE,0.01
crizotinib,KMS-12-PE,1
dasatinib,KMS-12-PE,NaN
docetaxel,KMS-12-PE,0
doxorubicin,KMS-12-PE,0.78
erlotinib,KMS-12-PE,10
gdc0941,KMS-12-PE,10
gemcitabine,KMS-12-PE,1
irinotecan,KMS-12-PE,7.54
lapatinib,KMS-12-PE,10.02
ms275,KMS-12-PE,0.1
paclitaxel,KMS-12-PE,0.01
pd0325901,KMS-12-PE,20
rapamycin,KMS-12-PE,0.1
thapsigargin,KMS-12-PE,0.05
vinblastine,KMS-12-PE,NaN
vorinostat,KMS-12-PE,1.29
bid1870,KMS-26,10
bortezomib,KMS-26,0.01
crizotinib,KMS-26,1
dasatinib,KMS-26,NaN
docetaxel,KMS-26,0
doxorubicin,KMS-26,0.23
erlotinib,KMS-26,0.69
gdc0941,KMS-26,0.37
gemcitabine,KMS-26,0
irinotecan,KMS-26,0.53
lapatinib,KMS-26,20
ms275,KMS-26,0.1
paclitaxel,KMS-26,0.01
pd0325901,KMS-26,20
rapamycin,KMS-26,0
thapsigargin,KMS-26,0.03
vinblastine,KMS-26,NaN
vorinostat,KMS-26,0.15
bid1870,KMS-34,10
bortezomib,KMS-34,0.04
crizotinib,KMS-34,1
dasatinib,KMS-34,NaN
docetaxel,KMS-34,0.01
doxorubicin,KMS-34,0.28
erlotinib,KMS-34,10
gdc0941,KMS-34,0.57
gemcitabine,KMS-34,0.01
irinotecan,KMS-34,0.4
lapatinib,KMS-34,13.47
ms275,KMS-34,0.1
paclitaxel,KMS-34,0.03
pd0325901,KMS-34,20
rapamycin,KMS-34,0.01
thapsigargin,KMS-34,0.05
vinblastine,KMS-34,NaN
vorinostat,KMS-34,1.23
bid1870,KNS-62,10
bortezomib,KNS-62,0.12
crizotinib,KNS-62,1
dasatinib,KNS-62,0.1
docetaxel,KNS-62,0
doxorubicin,KNS-62,0.34
erlotinib,KNS-62,10
gdc0941,KNS-62,10
gemcitabine,KNS-62,0.02
irinotecan,KNS-62,2.73
lapatinib,KNS-62,20
ms275,KNS-62,0.1
paclitaxel,KNS-62,0.01
pd0325901,KNS-62,0.09
rapamycin,KNS-62,0.1
thapsigargin,KNS-62,0.07
vinblastine,KNS-62,0.02
vorinostat,KNS-62,2.28
bid1870,KNS-81,10
bortezomib,KNS-81,0.01
crizotinib,KNS-81,1
dasatinib,KNS-81,NaN
docetaxel,KNS-81,0.01
doxorubicin,KNS-81,0.2
erlotinib,KNS-81,10
gdc0941,KNS-81,10
gemcitabine,KNS-81,0.08
irinotecan,KNS-81,3.26
lapatinib,KNS-81,20
ms275,KNS-81,0.1
paclitaxel,KNS-81,0.04
pd0325901,KNS-81,20
rapamycin,KNS-81,0.1
thapsigargin,KNS-81,1
vinblastine,KNS-81,NaN
vorinostat,KNS-81,3.95
bid1870,KP-3,10
bortezomib,KP-3,0.01
crizotinib,KP-3,1
dasatinib,KP-3,0.1
docetaxel,KP-3,0.03
doxorubicin,KP-3,1.18
erlotinib,KP-3,10
gdc0941,KP-3,10
gemcitabine,KP-3,1
irinotecan,KP-3,20
lapatinib,KP-3,14.44
ms275,KP-3,0.1
paclitaxel,KP-3,0.07
pd0325901,KP-3,8.38
rapamycin,KP-3,0.1
thapsigargin,KP-3,0.05
vinblastine,KP-3,0.03
vorinostat,KP-3,3.38
bid1870,KP4,10
bortezomib,KP4,0.05
crizotinib,KP4,0.57
dasatinib,KP4,0.1
docetaxel,KP4,0.01
doxorubicin,KP4,0.13
erlotinib,KP4,10
gdc0941,KP4,10
gemcitabine,KP4,0.01
irinotecan,KP4,2.22
lapatinib,KP4,11.15
ms275,KP4,0.1
paclitaxel,KP4,0.01
pd0325901,KP4,1.24
rapamycin,KP4,0.01
thapsigargin,KP4,0.07
vinblastine,KP4,0
vorinostat,KP4,1.45
bid1870,KP-N-SI9s,10
bortezomib,KP-N-SI9s,0.02
crizotinib,KP-N-SI9s,0.68
dasatinib,KP-N-SI9s,NaN
docetaxel,KP-N-SI9s,0
doxorubicin,KP-N-SI9s,0.06
erlotinib,KP-N-SI9s,10
gdc0941,KP-N-SI9s,10
gemcitabine,KP-N-SI9s,0
irinotecan,KP-N-SI9s,0.46
lapatinib,KP-N-SI9s,10.27
ms275,KP-N-SI9s,0.1
paclitaxel,KP-N-SI9s,0.02
pd0325901,KP-N-SI9s,0.19
rapamycin,KP-N-SI9s,0.1
thapsigargin,KP-N-SI9s,0.01
vinblastine,KP-N-SI9s,NaN
vorinostat,KP-N-SI9s,0.53
bid1870,KP-N-YN,10
bortezomib,KP-N-YN,0.05
crizotinib,KP-N-YN,0.68
dasatinib,KP-N-YN,NaN
docetaxel,KP-N-YN,0.01
doxorubicin,KP-N-YN,0.05
erlotinib,KP-N-YN,10
gdc0941,KP-N-YN,10
gemcitabine,KP-N-YN,0.01
irinotecan,KP-N-YN,0.37
lapatinib,KP-N-YN,20
ms275,KP-N-YN,0.08
paclitaxel,KP-N-YN,0.01
pd0325901,KP-N-YN,20
rapamycin,KP-N-YN,0.09
thapsigargin,KP-N-YN,0.1
vinblastine,KP-N-YN,NaN
vorinostat,KP-N-YN,0.52
bid1870,KU812,10
bortezomib,KU812,0.04
crizotinib,KU812,0.36
dasatinib,KU812,NaN
docetaxel,KU812,0.04
doxorubicin,KU812,1.18
erlotinib,KU812,10
gdc0941,KU812,10
gemcitabine,KU812,0.02
irinotecan,KU812,1.75
lapatinib,KU812,20
ms275,KU812,0.1
paclitaxel,KU812,0.07
pd0325901,KU812,0.01
rapamycin,KU812,0.1
thapsigargin,KU812,0.11
vinblastine,KU812,NaN
vorinostat,KU812,2.07
bid1870,KURAMOCHI,10
bortezomib,KURAMOCHI,0.28
crizotinib,KURAMOCHI,1
dasatinib,KURAMOCHI,NaN
docetaxel,KURAMOCHI,0.3
doxorubicin,KURAMOCHI,1.89
erlotinib,KURAMOCHI,10
gdc0941,KURAMOCHI,10
gemcitabine,KURAMOCHI,1
irinotecan,KURAMOCHI,20
lapatinib,KURAMOCHI,20
ms275,KURAMOCHI,0.1
paclitaxel,KURAMOCHI,3
pd0325901,KURAMOCHI,20
rapamycin,KURAMOCHI,0.1
thapsigargin,KURAMOCHI,0.14
vinblastine,KURAMOCHI,NaN
vorinostat,KURAMOCHI,4.49
bid1870,KYSE-140,10
bortezomib,KYSE-140,0.13
crizotinib,KYSE-140,1
dasatinib,KYSE-140,NaN
docetaxel,KYSE-140,0.3
doxorubicin,KYSE-140,0.36
erlotinib,KYSE-140,0.48
gdc0941,KYSE-140,10
gemcitabine,KYSE-140,1
irinotecan,KYSE-140,20
lapatinib,KYSE-140,1.93
ms275,KYSE-140,0.1
paclitaxel,KYSE-140,0.01
pd0325901,KYSE-140,1.36
rapamycin,KYSE-140,0.1
thapsigargin,KYSE-140,0.08
vinblastine,KYSE-140,NaN
vorinostat,KYSE-140,4.94
bid1870,KYSE-150,10
bortezomib,KYSE-150,0.04
crizotinib,KYSE-150,1
dasatinib,KYSE-150,NaN
docetaxel,KYSE-150,0
doxorubicin,KYSE-150,0.08
erlotinib,KYSE-150,1.45
gdc0941,KYSE-150,10
gemcitabine,KYSE-150,0.01
irinotecan,KYSE-150,2.82
lapatinib,KYSE-150,3.02
ms275,KYSE-150,0.1
paclitaxel,KYSE-150,0
pd0325901,KYSE-150,1.06
rapamycin,KYSE-150,0.1
thapsigargin,KYSE-150,0.05
vinblastine,KYSE-150,NaN
vorinostat,KYSE-150,2.24
bid1870,KYSE-180,10
bortezomib,KYSE-180,0.04
crizotinib,KYSE-180,1
dasatinib,KYSE-180,NaN
docetaxel,KYSE-180,0
doxorubicin,KYSE-180,0.25
erlotinib,KYSE-180,0.78
gdc0941,KYSE-180,10
gemcitabine,KYSE-180,0.01
irinotecan,KYSE-180,4.17
lapatinib,KYSE-180,2.56
ms275,KYSE-180,0.1
paclitaxel,KYSE-180,0.01
pd0325901,KYSE-180,20
rapamycin,KYSE-180,0.01
thapsigargin,KYSE-180,0.05
vinblastine,KYSE-180,NaN
vorinostat,KYSE-180,1.69
bid1870,KYSE-270,10
